epoch,loss,mae
1,454.8678894042969,16.50828742980957
2,331.8662414550781,13.834758758544922
3,142.04281616210938,8.954044342041016
4,64.06221771240234,6.306909561157227
5,40.60145568847656,4.925295829772949
6,28.509563446044922,3.9562997817993164
7,21.44675636291504,3.2839016914367676
8,17.31770133972168,2.978217840194702
9,13.803014755249023,2.6004984378814697
10,11.613327026367188,2.4222934246063232
11,10.105674743652344,2.2464966773986816
12,8.804961204528809,2.1167986392974854
13,7.758659839630127,1.9857494831085205
14,7.097494602203369,1.8930039405822754
15,6.532082557678223,1.8164068460464478
16,5.8756818771362305,1.7260491847991943
17,5.329864501953125,1.661830186843872
18,4.896401882171631,1.5937775373458862
19,4.56995964050293,1.5495158433914185
20,4.2366251945495605,1.4882087707519531
21,4.207881927490234,1.497350811958313
22,3.8555595874786377,1.4157860279083252
23,3.619582176208496,1.3562753200531006
24,3.39045786857605,1.3260762691497803
25,3.2063803672790527,1.2857860326766968
26,3.066701889038086,1.2617825269699097
27,3.015300750732422,1.254326581954956
28,2.9820103645324707,1.244749665260315
29,2.804443597793579,1.2045916318893433
30,2.758228302001953,1.1991198062896729
31,2.5924813747406006,1.16926908493042
32,2.486865997314453,1.1258856058120728
33,2.451732873916626,1.1297829151153564
34,2.395857095718384,1.1327590942382812
35,2.3154821395874023,1.1014381647109985
36,2.176439046859741,1.0706982612609863
37,2.078660488128662,1.0370113849639893
38,2.072720766067505,1.03388512134552
39,2.073854923248291,1.0320571660995483
40,1.978214144706726,1.0201362371444702
41,1.992624282836914,1.0222158432006836
42,2.0159404277801514,1.0458372831344604
43,1.922072172164917,0.9919264912605286
44,1.803265929222107,0.980516791343689
45,1.7359344959259033,0.9654887318611145
46,1.7025268077850342,0.9500768184661865
47,1.6875370740890503,0.9557267427444458
48,1.7571040391921997,0.9742792844772339
49,1.6161378622055054,0.9351533055305481
50,1.6169363260269165,0.9303205609321594
51,1.5574061870574951,0.9174004197120667
52,1.5395156145095825,0.9177969098091125
53,1.4381283521652222,0.8778504133224487
