epoch,loss,mae
1,437.86834716796875,16.526296615600586
2,249.84613037109375,12.128596305847168
3,103.80281829833984,7.609059810638428
4,64.53437805175781,6.078364372253418
5,42.87742614746094,4.825440883636475
6,30.00067138671875,3.9294848442077637
7,24.015491485595703,3.4987668991088867
8,21.93598175048828,3.310586452484131
9,20.244421005249023,3.119065046310425
10,19.528234481811523,3.062563180923462
11,18.480039596557617,2.944257974624634
12,17.65418243408203,2.850857973098755
13,16.871028900146484,2.791900396347046
14,16.77452278137207,2.7455196380615234
15,16.600923538208008,2.727213144302368
16,15.664875030517578,2.645449161529541
17,15.43270492553711,2.606731653213501
18,15.140055656433105,2.5953927040100098
19,14.962972640991211,2.551318883895874
20,14.42293930053711,2.5385005474090576
21,14.287613868713379,2.5023629665374756
22,13.98663330078125,2.479043483734131
23,13.418861389160156,2.4244725704193115
24,13.503766059875488,2.4219439029693604
25,13.242579460144043,2.4010677337646484
26,13.156614303588867,2.3948001861572266
27,12.501893043518066,2.320322275161743
28,12.521528244018555,2.3248391151428223
29,12.198984146118164,2.313032627105713
30,12.123160362243652,2.277385950088501
31,11.784170150756836,2.2484469413757324
32,11.746407508850098,2.244770050048828
33,11.437735557556152,2.2162699699401855
34,11.536378860473633,2.245969295501709
35,11.273990631103516,2.182119607925415
36,10.630995750427246,2.130103588104248
37,10.526707649230957,2.128657341003418
38,10.744704246520996,2.1170737743377686
39,10.429421424865723,2.1158230304718018
40,10.111653327941895,2.0586800575256348
41,9.734495162963867,2.0452306270599365
42,9.38775634765625,1.995546817779541
43,9.165918350219727,1.958517074584961
44,9.009476661682129,1.956796407699585
45,8.92414379119873,1.9339829683303833
46,9.127788543701172,1.9282028675079346
47,9.539836883544922,2.005999803543091
48,9.102432250976562,1.9690371751785278
49,8.649101257324219,1.9197269678115845
50,7.971531867980957,1.833301305770874
51,8.162912368774414,1.8657054901123047
52,8.215594291687012,1.8494693040847778
53,7.6522088050842285,1.793735146522522
54,8.078619003295898,1.8233195543289185
55,8.320472717285156,1.904326319694519
56,7.7199883460998535,1.8256605863571167
57,7.034651279449463,1.7098032236099243
58,6.8372650146484375,1.7031391859054565
59,6.854920387268066,1.6737606525421143
60,6.996517181396484,1.690142035484314
61,6.896928310394287,1.6804258823394775
62,6.462923526763916,1.6651920080184937
63,6.9332075119018555,1.713197112083435
64,7.900884628295898,1.7560486793518066
65,6.763993263244629,1.6683051586151123
66,6.565781593322754,1.666892647743225
67,6.253432750701904,1.614992618560791
68,6.117154121398926,1.605353593826294
69,6.328989505767822,1.6396838426589966
70,6.078605651855469,1.591012954711914
71,5.580550193786621,1.5273551940917969
72,5.655033111572266,1.5476903915405273
73,5.847150802612305,1.5184903144836426
74,5.202640533447266,1.4481279850006104
75,6.294936180114746,1.5839937925338745
76,5.337463855743408,1.4833282232284546
77,5.4580912590026855,1.4822731018066406
78,4.923976421356201,1.4154359102249146
79,5.1799211502075195,1.443334937095642
80,4.860279083251953,1.4077117443084717
81,5.679219722747803,1.5432120561599731
82,6.422386646270752,1.6000086069107056
83,5.611306190490723,1.5627192258834839
84,5.333545207977295,1.481500506401062
85,4.807682037353516,1.4192795753479004
86,4.825501441955566,1.392682671546936
87,4.672497749328613,1.3821980953216553
88,4.781795024871826,1.3805822134017944
89,5.035257816314697,1.4428715705871582
90,4.848081588745117,1.4053179025650024
91,4.9521803855896,1.4223682880401611
92,4.390649318695068,1.3364256620407104
93,4.471618175506592,1.3516054153442383
94,4.620813369750977,1.3889849185943604
95,4.996181488037109,1.4483368396759033
96,4.666537284851074,1.4131749868392944
97,5.480838775634766,1.5028115510940552
98,4.909163475036621,1.4105883836746216
99,4.532519340515137,1.3570042848587036
100,4.3696208000183105,1.362927794456482
101,4.493762969970703,1.3344475030899048
102,4.261631965637207,1.304240107536316
103,4.349337100982666,1.3378961086273193
104,4.261425971984863,1.3025574684143066
105,4.137563228607178,1.3151593208312988
106,4.514345645904541,1.3809809684753418
107,4.2423553466796875,1.3183118104934692
108,4.147146701812744,1.3032702207565308
109,3.9460179805755615,1.2838389873504639
110,4.076229572296143,1.2936354875564575
111,4.306989669799805,1.2897772789001465
112,3.8813118934631348,1.2552238702774048
113,4.449755668640137,1.3253402709960938
114,4.364291667938232,1.3475865125656128
115,4.031116485595703,1.263570785522461
116,3.7541985511779785,1.216442346572876
117,3.8038218021392822,1.2344216108322144
118,3.718386173248291,1.2395459413528442
119,3.759948492050171,1.2430580854415894
120,3.884791374206543,1.2894738912582397
121,3.786111354827881,1.243497610092163
122,3.8288564682006836,1.2589294910430908
123,4.0287322998046875,1.2908339500427246
124,3.9368844032287598,1.259479284286499
125,3.9324822425842285,1.2698509693145752
126,3.749267578125,1.2118899822235107
127,3.7563071250915527,1.2336782217025757
