loss,mae
461.0531921,16.65460396
325.0285034,14.04237747
106.1695251,7.820390224
44.96197891,5.039813995
22.20277023,3.674508333
15.39416027,2.93432498
10.64933395,2.452104807
8.717651367,2.202343702
7.42542696,2.031107664
6.634393215,1.907735109
5.996764183,1.809902906
5.576508522,1.733350277
5.156380177,1.651183128
4.867389679,1.606498599
4.592262268,1.547230601
4.302455902,1.499858022
4.347930431,1.505639672
4.064175606,1.457464933
3.750510216,1.394444823
3.604308128,1.367997289
3.549245358,1.353295922
3.374791861,1.311531067
3.395831823,1.311158538
3.094838858,1.257526755
3.036090851,1.242013693
2.91781354,1.210613966
2.901664734,1.22186482
2.762783289,1.183871984
2.720247507,1.166487575
2.58403039,1.151677966
2.541133404,1.142948389
2.393004417,1.108165383
2.326149225,1.090963602
2.55521822,1.119115829
2.242600918,1.059843183
2.247144938,1.070842385
2.118135691,1.041997075
2.023102283,1.017682791
1.951756954,1.006410003
1.976072907,1.00006187
1.967074752,1.022117257
1.942368984,0.980947614
1.896607399,0.985139787
1.744564176,0.947477639
1.717442751,0.92612958
1.821574569,0.957928836
1.696418166,0.93431735
1.83101058,0.953276992
1.575405955,0.899210751
1.545590997,0.894133031
1.502650023,0.872708023
1.484381318,0.8715204
1.454979062,0.855751395
1.455805898,0.866295874
1.397921681,0.846292675
1.309881806,0.813949287
1.274223804,0.803685665
1.304068446,0.82684195
1.297530055,0.81970036
1.279093623,0.805138588
1.26458478,0.814615786
1.250778079,0.816123903
1.291615486,0.817153156
1.172239304,0.773763955
1.092573047,0.744758725
1.125262618,0.748389721
1.219259858,0.787692249
1.048980594,0.7425614
1.293574333,0.816588998
1.072581172,0.74489826
1.066123486,0.74208504
1.099566817,0.76848352
0.98834604,0.717581451
0.980222046,0.714853942
0.963110149,0.714890361
1.041880727,0.738535702
0.954241157,0.70829165
0.973042905,0.712570846
0.882167995,0.677065551
0.853475213,0.664149582
0.851913214,0.668133676
0.894881248,0.687865794
0.801059008,0.653264642
0.834004343,0.664135158
0.81009829,0.650916934
0.768359542,0.631581903
0.753321528,0.637412727
0.757810354,0.633957803
0.726138175,0.623846591
0.709006906,0.6134758
0.723417163,0.62611258
0.687366843,0.610134661
0.721425354,0.618896008
0.709895134,0.609708309
0.684941471,0.599790752
0.661335647,0.598832905
0.653328955,0.591645241
0.64981848,0.601479948
0.797446072,0.651280522
0.697221994,0.613266945
0.729142845,0.62173003
0.633372545,0.588467717
0.692949653,0.617940605
0.705752373,0.620267391
0.690390885,0.618609667
0.632231057,0.594197989
0.618104398,0.593766332
0.638971508,0.577907383
0.608560979,0.567059457
0.626404643,0.583794653
0.673022807,0.58672756
0.691555023,0.611351848
0.597348571,0.583528399
0.606356978,0.56881094
0.534388244,0.543642819
0.551523507,0.545867264
0.504913747,0.520038664
0.531145513,0.53771919
0.541562915,0.533156395
0.500063539,0.523989439
0.503131688,0.528132856
0.532938719,0.53959012
0.644081891,0.584303677
0.585924089,0.553590298
0.461564809,0.501205385
0.495226771,0.524640739
0.426124603,0.486682445
0.469709665,0.508016586
0.517488837,0.534020483
0.487914443,0.513701737
0.420878083,0.483645886
0.500118971,0.520630121
0.45154047,0.495973766
0.504611433,0.530202389
0.463427901,0.505010545
0.401038736,0.468838573
0.445016742,0.485025585
0.424256355,0.474403352
0.502753258,0.529183209
0.512455642,0.520234823
0.429215282,0.48182556
0.422400266,0.479540139
0.424545467,0.478549093
0.42285496,0.478966177
0.401836306,0.481371105
0.465121329,0.520609379
0.396964073,0.460956216
0.395030826,0.464906782
0.572870672,0.569010079
0.416887075,0.476639181
0.363970071,0.461410105
0.38288936,0.467452496
0.354451388,0.438696027
0.341475934,0.42699787
0.375421613,0.454572141
0.414043844,0.470858544
0.390714616,0.466579556
0.36203894,0.444451392
0.328794241,0.427631885
0.352591008,0.441600561
0.30637455,0.409771383
0.319765985,0.421434134
0.345831752,0.442102343
0.339144886,0.434435576
0.358537734,0.450553566
0.302279055,0.413299501
0.319604635,0.419292897
0.356503546,0.444884747
0.436890036,0.497786433
0.366261601,0.458842427
0.339467227,0.437877059
0.284891903,0.399699003
0.30441618,0.412609726
0.305138439,0.421097457
0.3397623,0.438276112
0.307353914,0.420450181
0.310016096,0.417189211
0.379430115,0.465079516
0.333351523,0.436176807
0.335050911,0.427641779
0.322875232,0.430339932
0.346993685,0.43609184
0.288278222,0.408803463
0.259712875,0.394760251
0.268081039,0.385903835
0.243776113,0.37088567
0.254193336,0.382423609
0.257375896,0.382136583
0.388893157,0.458913296
0.328262359,0.429424644
0.25411877,0.376773506
0.306680977,0.414127946
0.334745556,0.424520433
0.383665532,0.436282665
0.438062131,0.45551306
0.284880072,0.406575799
0.259342313,0.389849097
0.24160856,0.370122552
0.231046885,0.359242886
0.242341146,0.374516785
0.253623992,0.378485143
0.265771657,0.395760655
0.376986325,0.465818524
0.341507316,0.443901271
0.31186381,0.424402028
0.337829113,0.434048414
0.33110413,0.430843472
0.56034416,0.537681282
0.288313121,0.404597372
0.246250436,0.37151435
0.233106852,0.367127389
0.225279987,0.360934168
0.199775949,0.341479063
0.215037629,0.355355829
0.203495502,0.342055887
0.181525111,0.320581019
0.186578244,0.326598525
0.185441121,0.330693752
0.192315221,0.329940826
0.199590713,0.345032245
0.231302112,0.362283677
0.273092777,0.393345088
0.219027534,0.355512738
0.199696839,0.347221643
0.219604149,0.353621513
0.227604806,0.357398242
0.186032966,0.327211201
0.169771209,0.307947129
0.17702572,0.321685106
0.183358923,0.324695796
0.183966473,0.326301157
0.186996356,0.327908546
0.193990603,0.335058987
0.24862957,0.369263083
0.191715345,0.336508721
0.223072171,0.362171173
0.177629948,0.324201852
0.202613294,0.343803316
0.169011816,0.313967168
0.185772881,0.328769028
0.154379189,0.301909655
0.165413767,0.306992501
0.147629634,0.294564486
0.155752063,0.303148597
0.189787865,0.32888332
0.203727081,0.341025025
0.200086385,0.340595335
0.190851867,0.333911568
0.213621676,0.348704666
0.202839375,0.34674722
0.239364251,0.376215994
0.155753911,0.306594342
0.157515347,0.30183652
0.180439636,0.323628068
0.230250224,0.367444903
0.241970524,0.362099528
0.228638917,0.35206756
0.192574933,0.331566542
0.174113274,0.315122396
0.199256077,0.340493977
0.226496741,0.355738878
0.276702642,0.389923066
0.23521176,0.370781571
0.207720086,0.3439762
0.177996859,0.321475744
0.221823484,0.351126432
0.191784054,0.335170239
0.201318428,0.336176425
0.272515208,0.381938666
0.170005083,0.314514548
0.137879163,0.284183383
0.143944904,0.294383198
0.152262345,0.292351753
0.144733757,0.295047402
0.178058848,0.322967201
0.15530771,0.300658911
0.140204623,0.279947132
0.207052127,0.340763092
0.177674726,0.316449881
0.182483539,0.322145432
0.167717785,0.312270522
0.205366477,0.34172675
0.234523118,0.360215038
0.240863606,0.359572768
0.205221608,0.341872782
0.152113721,0.302342892
0.124743305,0.267299116
0.175247744,0.315372854
0.162463978,0.30020082
0.138732836,0.287069649
0.135696605,0.283288389
0.164024353,0.306659549
0.286201298,0.392459422
0.194936827,0.333005846
0.159747779,0.301497906
0.143539757,0.284159511
0.184672922,0.324484318
0.176189542,0.315557599
0.193247408,0.326204509
0.2222289,0.35638386
