loss,mae
422.7979431,15.88398743
207.9488678,10.75739765
63.97182465,5.868598938
25.81373024,3.854230642
14.38618946,2.88359642
9.882645607,2.322816849
7.586308956,2.03456378
6.53637743,1.865620255
5.899691105,1.757083297
5.037571907,1.62868309
4.651461601,1.565832615
4.295547962,1.50909543
4.02706337,1.44587934
3.767431021,1.403774142
3.596510172,1.365271807
3.393357277,1.324582219
3.206125021,1.275732994
3.091781616,1.254004598
2.902843237,1.231049538
2.779167652,1.190376639
2.650560379,1.16971457
2.515673161,1.134549737
2.398634911,1.103814244
2.248228788,1.072046995
2.171231985,1.052689791
2.110160351,1.040430188
2.035288095,1.021464586
1.95485723,0.999678671
1.889414549,0.978207529
1.830877662,0.951569915
1.79952991,0.944741428
1.703683853,0.935905159
1.682525039,0.927866757
1.635963678,0.908718109
1.548020601,0.887360632
1.527277827,0.882766426
1.437396049,0.853535235
1.414418221,0.845944524
1.373132229,0.83951515
1.329378724,0.831510007
1.340014815,0.819819212
1.229328275,0.796092153
1.18827045,0.783918381
1.169039845,0.780818164
1.123225331,0.763042688
1.130446434,0.768136621
1.169292092,0.785556495
1.064754248,0.745314598
1.06806922,0.748055398
1.029298902,0.737510264
1.011413813,0.734541655
1.024159551,0.716484427
0.948630273,0.708193958
0.949506521,0.715109646
1.042701244,0.737079382
0.965622365,0.713553667
1.093047619,0.745263457
1.050321341,0.734196067
0.843982339,0.673665643
0.827746391,0.667807877
0.905682921,0.695826173
0.834744513,0.677677572
0.933788061,0.7080217
0.900170386,0.680616915
0.848034739,0.668091059
0.857240975,0.668837488
0.855104744,0.67756778
0.74702692,0.642235994
0.796461761,0.659199059
0.717476249,0.619655311
0.679684103,0.602450907
0.773615718,0.638763905
0.668047667,0.60479641
0.729107976,0.625873566
0.645060778,0.59753114
0.667930305,0.599232018
0.683710158,0.606935799
0.65156436,0.604828954
0.677340388,0.602303088
0.727664173,0.630517423
0.666249633,0.60276556
0.76345849,0.643101275
0.599396348,0.581871271
0.595225453,0.577605426
0.597440839,0.572135925
0.567896783,0.562266469
0.562167764,0.560995042
0.515307069,0.538265467
0.535022497,0.542547584
0.599032223,0.573337376
0.589487374,0.572352469
0.516230524,0.539725542
0.508919716,0.53219527
0.508052289,0.536034644
0.473204046,0.516169488
0.527822852,0.549554706
0.537131906,0.543102682
0.504397213,0.526135206
0.467010796,0.508220732
0.43484363,0.4925946
0.495365053,0.527058363
0.468189299,0.518577099
0.4668791,0.51346004
0.46061936,0.510839283
0.511356294,0.534021258
0.480378002,0.507903814
0.519414663,0.539331317
