x,y,VAUD_mean,VBUD_mean,VCUD_mean,VALR_mean,VBLR_mean,VCLR_mean,PXAL_mean,PXAM_mean,PXAR_mean,PXBL_mean,PXBM_mean,PXBR_mean,PYAL_mean,PYAM_mean,PYAR_mean,PYBL_mean,PYBM_mean,PYBR_mean,VAUD_std,VBUD_std,VCUD_std,VALR_std,VBLR_std,VCLR_std,PXAL_std,PXAM_std,PXAR_std,PXBL_std,PXBM_std,PXBR_std,PYAL_std,PYAM_std,PYAR_std,PYBL_std,PYBM_std,PYBR_std
34,9,0.04412977,0.030680519,0.040644356,0.040594106,0.026517283,0.044614985,0.030917782,0.067801598,0.107381219,0.024195704,0.016965534,0.011499201,0.058325774,0.059093207,0.075685315,0.032024875,0.035263294,0.017243107,0.001417553,0.001586634,0.002812065,0.002529791,0.002466313,0.00728367,0.011824111,0.023596077,0.005849502,0.015439764,0.018495266,0.011127743,0.00094225,0.00101428,0.00124019,0.003986421,0.004921819,0.00173434
35,-1,0.041602398,0.029491309,0.045224775,0.057718781,0.028858941,0.017974126,0.082165135,0.086645854,0.062566833,0.078148052,0.120274825,0.112113187,0.05434036,0.047364535,0.07217043,0.034982118,0.03319002,0.010696698,0.018232137,0.011955356,0.016965333,0.023582055,0.020154125,0.019817235,0.035091535,0.048454908,0.043348577,0.045109156,0.054224481,0.043962187,0.016834965,0.017320215,0.015418768,0.007798977,0.010359651,0.005641699
35,-10,0.03651988,0.029068931,0.043286913,0.018595604,0.022314585,0.032688012,0.007698402,0.01150979,0.061538162,0.082292907,0.06743956,0.015744456,0.066192507,0.060179221,0.071557043,0.031161139,0.036144366,0.019337658,0.004001707,0.001668076,0.001528267,0.006815643,0.003771269,0.002751393,0.012062257,0.014734157,0.027872223,0.024884838,0.034158536,0.006681761,0.008351377,0.00313531,0.006311352,0.000881495,0.001700434,0.00089727
35,-2,0.038582817,0.02791039,0.049747353,0.051450749,0.023031668,0.01625984,0.06202048,0.06212957,0.04537992,0.102237463,0.146466833,0.128254346,0.053781918,0.047587413,0.066481518,0.036379321,0.035253557,0.012379116,0.017014159,0.014062697,0.005601938,0.026890024,0.020634171,0.012268151,0.040313731,0.050439578,0.04115422,0.029966844,0.030357999,0.030891581,0.019805924,0.016839335,0.01900401,0.005069512,0.007662346,0.003207118
35,-3,0.035757942,0.027420779,0.049625475,0.041664336,0.021661838,0.016693007,0.052932867,0.058776424,0.034925874,0.099964935,0.146095205,0.128522977,0.053364935,0.046335465,0.06047962,0.036498002,0.035697912,0.012789905,0.021261731,0.018303879,0.005570063,0.027638654,0.016660862,0.011431266,0.042521908,0.0498826,0.03894256,0.031455456,0.029686061,0.033026253,0.023460102,0.018896341,0.022004226,0.004368316,0.007333986,0.003887001
35,-4,0.031191908,0.031129471,0.049273327,0.030092008,0.017826074,0.019353047,0.024544855,0.025259141,0.028485614,0.113701499,0.15108042,0.121793407,0.055520579,0.048765834,0.047781718,0.035036563,0.036141568,0.015061833,0.021650619,0.004575492,0.0024553,0.026521222,0.008650387,0.007325961,0.029343411,0.030307753,0.030244958,0.016779972,0.014192895,0.028411786,0.023540184,0.018537488,0.024332221,0.002424786,0.004665327,0.002108056
35,-5,0.035526174,0.030191908,0.04832957,0.02658981,0.016761738,0.024073427,0.017511089,0.021102597,0.025417283,0.113956843,0.143292308,0.089933267,0.06089021,0.050364535,0.054305994,0.034333467,0.036191919,0.015940355,0.018098114,0.004621775,0.002408327,0.019028139,0.007825982,0.00542673,0.024342372,0.026981653,0.02374976,0.013331857,0.021787189,0.042642417,0.020548123,0.019031799,0.021048816,0.002333264,0.00452493,0.002159197
35,-6,0.03237972,0.029309191,0.047633966,0.026154845,0.015846953,0.022837463,0.017930669,0.021756444,0.030432468,0.112885215,0.143261638,0.093303996,0.061716284,0.04554036,0.050978422,0.034111389,0.036084326,0.016051544,0.019719224,0.006716498,0.003194036,0.022762742,0.010047545,0.008135965,0.025018636,0.028730846,0.028863184,0.018519986,0.025407605,0.043418505,0.021844383,0.026606502,0.022252324,0.002719545,0.00503881,0.002336228
35,-7,0.035267233,0.02972028,0.046255145,0.020755345,0.018263936,0.028114386,0.011211588,0.013868432,0.036586613,0.107376424,0.123917582,0.04807962,0.063290909,0.052928072,0.06063966,0.032807592,0.036154655,0.017483811,0.014173866,0.003557999,0.002405727,0.013920939,0.00769324,0.004538557,0.016561982,0.016329423,0.027852906,0.021482325,0.033550288,0.038194421,0.021377506,0.019883646,0.017803261,0.00168028,0.003345778,0.001726896
35,-8,0.036744356,0.029371029,0.044650649,0.01925045,0.019855445,0.029794505,0.007083317,0.01103007,0.041764935,0.101506194,0.109233866,0.026940659,0.069374725,0.05737972,0.067937862,0.032011588,0.036086124,0.018301294,0.00531489,0.001759605,0.001875331,0.008398557,0.004378637,0.002776157,0.006920673,0.011647129,0.02971139,0.021505727,0.035254669,0.019610762,0.008390757,0.009526765,0.012241178,0.001132311,0.002224672,0.001141376
35,-9,0.036231768,0.029038262,0.043647053,0.017989411,0.020846454,0.03253037,0.008053646,0.011933966,0.051938362,0.081399201,0.079077522,0.019669231,0.068984316,0.058791209,0.067167133,0.031568032,0.036116494,0.018880914,0.004665539,0.002476865,0.002102226,0.008528422,0.005713608,0.004032019,0.010615998,0.014628393,0.031558867,0.032269542,0.043039688,0.013712235,0.010051841,0.006414849,0.012447641,0.001139922,0.002199545,0.001066564
